year,id,agekdbrn,educ,racehisp
2000,988,34,15,Other
2000,989,17,17,White
2000,990,22,15,White
2000,991,24,12,Hispanic
2000,992,22,12,White
2000,993,25,16,White
2000,995,17,12,White
2000,996,23,12,White
2000,998,20,13,White
2000,999,21,12,White
2000,1000,23,12,White
2000,1001,24,12,White
2000,1003,23,12,White
2000,1004,29,15,White
2000,1005,25,14,White
2000,1006,18,12,White
2000,1008,18,14,White
2000,1009,22,12,White
2000,1010,18,11,White
2000,1011,19,12,White
2000,1012,29,16,White
2000,1013,22,12,White
2000,1014,23,12,White
2000,1017,19,12,White
2000,1018,26,20,White
2000,1022,21,11,White
2000,1023,26,14,White
2000,1024,17,14,White
2000,1025,21,12,Hispanic
2000,1026,19,12,Hispanic
2000,1027,19,12,Hispanic
2000,1028,19,13,Hispanic
2000,1029,31,11,Hispanic
2000,1030,19,13,Hispanic
2000,1032,22,12,Other
2000,1033,19,12,Black
2000,1034,15,11,White
2000,1036,28,12,White
2000,1038,23,16,White
2000,1041,21,15,White
2000,1042,28,14,White
2000,1043,19,11,Hispanic
2000,1044,19,14,Hispanic
2000,1045,30,14,Hispanic
2000,1046,33,12,Black
2000,1047,21,14,Hispanic
2000,1051,31,20,White
2000,1052,22,13,White
2000,1053,22,13,Hispanic
2000,1056,20,11,Hispanic
2000,1060,36,20,White
2000,1061,20,12,White
2000,1062,23,14,Hispanic
2000,1063,27,10,Hispanic
2000,1064,24,11,White
2000,1065,30,12,White
2000,1066,22,9,Hispanic
2000,1067,18,9,Hispanic
2000,1068,20,15,White
2000,1069,27,13,Hispanic
2000,1070,17,11,White
2000,1072,26,17,White
2000,1073,28,16,White
2000,1074,33,18,Other
2000,1075,35,16,White
2000,1076,22,16,Other
2000,1077,30,18,White
2000,1078,18,13,White
2000,1085,29,20,White
2000,1087,32,18,White
2000,1089,22,16,White
2000,1091,34,16,White
2000,1092,26,16,White
2000,1093,25,12,White
2000,1094,25,18,White
2000,1095,22,16,White
2000,1097,18,14,Black
2000,1099,28,15,White
2000,1101,32,9,Other
2000,1103,33,20,White
2000,1104,27,14,White
2000,1106,20,14,White
2000,1107,25,13,White
2000,1108,27,17,White
2000,1109,17,14,White
2000,1110,17,12,White
2000,1111,20,13,White
2000,1112,19,15,White
2000,1115,24,10,White
2000,1116,19,12,White
2000,1117,23,12,White
2000,1118,24,8,White
2000,1120,21,12,White
2000,1124,19,11,White
2000,1126,21,12,White
2000,1127,16,12,White
2000,1128,32,16,White
2000,1129,22,12,White
2000,1130,19,12,White
2000,1131,23,12,Black
2000,1132,21,8,White
2000,1133,23,12,Black
2000,1135,19,14,White
2000,1136,16,8,Black
2000,1138,22,9,White
2000,1139,25,16,White
2000,1140,23,14,White
2000,1141,20,16,White
2000,1142,18,13,White
2000,1143,27,12,Black
2000,1145,21,15,White
2000,1147,27,13,White
2000,1149,22,13,White
2000,1150,17,11,White
2000,1151,33,11,White
2000,1157,18,10,White
2000,1158,39,14,White
2000,1159,22,14,White
2000,1161,22,12,White
2000,1162,21,14,White
2000,1163,32,16,White
2000,1165,23,15,White
2000,1166,27,12,White
2000,1168,25,14,White
2000,1170,38,14,White
2000,1171,34,12,White
2000,1174,28,14,White
2000,1177,19,14,White
2000,1178,25,12,Black
2000,1179,38,16,Black
2000,1180,18,16,Other
2000,1181,28,12,White
2000,1185,27,10,White
2000,1186,17,9,White
2000,1187,23,14,White
2000,1189,22,17,Black
2000,1190,18,8,White
2000,1191,23,11,Black
2000,1192,18,10,White
2000,1195,18,11,White
2000,1196,29,14,White
2000,1198,18,11,White
2000,1199,19,11,Black
2000,1200,30,12,Black
2000,1201,29,16,White
2000,1202,23,13,White
2000,1204,28,14,Black
2000,1205,30,20,Hispanic
2000,1206,21,14,White
2000,1209,29,16,Black
2000,1210,23,16,White
2000,1211,21,12,White
2000,1212,22,14,Black
2000,1213,18,13,Black
2000,1215,37,14,Black
2000,1216,36,11,White
2000,1218,26,12,Black
2000,1219,18,12,White
2000,1220,38,14,White
2000,1221,22,12,Black
2000,1222,28,12,White
2000,1223,24,13,Other
2000,1224,24,12,White
2000,1225,23,16,White
2000,1226,26,17,White
2000,1227,17,8,White
2000,1228,33,20,White
2000,1229,24,13,White
2000,1230,25,12,White
2000,1231,17,12,White
2000,1232,20,13,White
2000,1233,20,14,White
2000,1234,32,13,White
2000,1236,27,14,White
2000,1238,21,12,Black
2000,1239,19,12,White
2000,1240,22,12,White
2000,1243,25,12,White
2000,1245,30,11,White
2000,1247,24,10,White
2000,1248,26,18,White
2000,1249,16,12,Black
2000,1250,21,8,White
2000,1251,28,12,White
2000,1252,17,8,Hispanic
2000,1253,23,12,White
2000,1254,28,13,White
2000,1255,24,14,White
2000,1256,23,16,Hispanic
2000,1263,30,16,White
2000,1264,19,10,White
2000,1265,25,10,White
2000,1266,24,13,White
2000,1267,16,8,White
2000,1268,28,12,White
2000,1269,21,16,White
2000,1270,25,16,White
2000,1271,28,13,White
2000,1272,27,14,White
2000,1273,21,20,White
2000,1275,30,16,White
2000,1277,32,20,Hispanic
2000,1278,42,20,White
2000,1279,35,18,White
2000,1281,24,13,White
2000,1282,24,18,White
2000,1283,24,12,White
2000,1285,19,12,White
2000,1286,21,12,White
2000,1289,31,16,White
2000,1290,20,16,White
2000,1291,22,12,White
2000,1293,16,9,White
2000,1294,24,12,White
2000,1295,17,14,White
2000,1297,21,11,Other
2000,1298,26,12,White
2000,1301,21,14,Other
2000,1302,23,14,White
2000,1303,17,10,Hispanic
2000,1305,20,10,White
2000,1308,31,14,Hispanic
2000,1309,21,12,White
2000,1310,22,12,White
2000,1316,23,12,Hispanic
2000,1317,20,13,Hispanic
2000,1319,22,16,Black
2000,1320,27,14,White
2000,1321,25,14,White
2000,1322,21,12,White
2000,1323,19,12,White
2000,1324,24,12,White
2000,1327,22,14,White
2000,1330,28,12,White
2000,1332,19,12,White
2000,1333,24,11,Hispanic
2000,1338,21,13,Hispanic
2000,1342,15,8,Hispanic
2000,1344,27,16,White
2000,1347,29,16,White
2000,1348,27,16,White
2000,1352,32,13,White
2000,1354,21,15,White
2000,1355,16,13,Hispanic
2000,1357,18,13,White
2000,1358,19,16,White
2000,1359,23,13,White
2000,1360,16,11,Black
2000,1361,29,14,White
2000,1362,18,14,White
2000,1364,17,12,Hispanic
2000,1368,21,12,White
2000,1370,16,8,Black
2000,1371,26,14,Black
2000,1372,16,10,Black
2000,1373,19,15,Black
2000,1375,19,12,Black
2000,1376,18,9,Black
2000,1377,18,10,Black
2000,1378,17,8,Black
2000,1379,23,12,Black
2000,1381,29,12,Black
2000,1382,19,13,Black
2000,1383,19,10,Black
2000,1384,17,13,Black
2000,1385,21,12,Black
2000,1386,21,13,Black
2000,1387,29,14,White
2000,1390,23,14,Black
2000,1391,22,12,Black
2000,1392,25,12,White
2000,1394,21,15,White
2000,1395,17,12,White
2000,1396,29,15,Black
2000,1397,15,12,Black
2000,1399,23,14,White
2000,1404,21,12,White
2000,1405,31,18,White
2000,1407,21,15,White
2000,1408,27,12,White
2000,1409,32,13,White
2000,1411,18,12,Black
2000,1412,22,14,White
2000,1413,23,15,White
2000,1414,23,17,White
2000,1415,24,13,White
2000,1416,25,12,White
2000,1417,27,16,White
2000,1418,24,13,White
2000,1419,26,15,White
2000,1420,20,12,White
2000,1421,25,12,White
2000,1422,23,11,White
2000,1423,27,12,Black
2000,1424,20,12,White
2000,1425,18,13,Black
2000,1426,20,12,White
2000,1427,18,12,White
2000,1429,20,13,White
2000,1430,27,16,White
2000,1431,17,10,White
2000,1432,26,16,White
2000,1434,26,13,White
2000,1436,49,20,White
2000,1437,18,14,White
2000,1438,29,14,Black
2000,1441,25,20,Black
2000,1442,32,14,White
2000,1443,17,14,Black
2000,1444,16,15,Black
2000,1447,23,12,White
2000,1448,18,12,Black
2000,1449,19,12,White
2000,1450,31,16,White
2000,1451,22,17,White
2000,1453,29,17,White
2000,1454,25,12,White
2000,1455,21,11,White
2000,1460,38,12,White
2000,1462,20,8,White
2000,1464,31,12,White
2000,1467,28,17,White
2000,1471,29,12,White
2000,1472,21,14,White
2000,1473,32,14,White
2000,1475,19,12,White
2000,1479,16,10,Black
2000,1480,19,12,White
2000,1481,15,8,White
2000,1483,13,10,Black
2000,1485,17,9,Black
2000,1486,18,12,Black
2000,1487,25,12,White
2000,1488,19,9,White
2000,1489,21,12,White
2000,1490,20,8,White
2000,1491,20,12,White
2000,1492,26,13,White
2000,1493,22,12,White
2000,1494,21,12,White
2000,1495,29,16,White
2000,1497,22,16,Black
2000,1499,25,12,White
2000,1500,14,8,Black
2000,1501,17,12,Black
2000,1503,25,17,White
2000,1504,30,16,White
2000,1505,26,16,Black
2000,1508,26,14,White
2000,1510,19,14,White
2000,1511,20,12,Black
2000,1512,24,14,Black
2000,1513,24,14,Black
2000,1514,22,12,Black
2000,1515,16,13,Black
2000,1516,29,18,White
2000,1517,17,11,White
2000,1518,23,12,White
2000,1519,18,13,White
2000,1520,19,12,White
2000,1521,20,12,White
2000,1523,25,14,White
2000,1524,20,17,White
2000,1525,24,20,White
2000,1526,24,17,White
2000,1528,24,14,White
2000,1529,24,18,White
2000,1530,24,19,White
2000,1531,27,15,White
2000,1532,22,16,White
2000,1533,19,13,White
2000,1535,26,16,White
2000,1536,24,12,White
2000,1537,25,14,Black
2000,1538,21,16,White
2000,1539,30,15,White
2000,1541,22,14,White
2000,1542,27,17,Hispanic
2000,1543,30,16,White
2000,1544,26,19,Black
2000,1545,18,15,White
2000,1546,21,14,Other
2000,1549,17,16,Black
2000,1550,28,14,White
2000,1551,17,8,White
2000,1553,26,18,White
2000,1554,25,13,Black
2000,1555,21,12,White
2000,1557,24,18,White
2000,1558,18,11,White
2000,1559,30,14,White
2000,1560,21,14,White
2000,1561,26,18,White
2000,1568,20,14,White
2000,1569,22,15,White
2000,1570,25,17,Black
2000,1572,34,12,White
2000,1576,28,14,White
2000,1577,30,16,Other
2000,1579,19,15,White
2000,1582,22,16,White
2000,1583,41,12,White
2000,1586,15,12,White
2000,1587,28,13,White
2000,1589,26,16,White
2000,1590,21,12,White
2000,1593,16,12,Black
2000,1595,21,20,White
2000,1598,20,13,Black
2000,1599,22,12,White
2000,1600,21,12,White
2000,1601,21,13,White
2000,1602,19,10,White
2000,1603,29,15,White
2000,1604,25,13,Black
2000,1606,31,16,White
2000,1607,27,12,White
2000,1611,17,11,Black
2000,1612,18,14,Black
2000,1613,16,11,Black
2000,1614,25,12,Black
2000,1615,24,10,White
2000,1616,19,12,Hispanic
2000,1618,23,10,White
2000,1619,19,12,White
2000,1621,28,18,White
2000,1623,21,16,White
2000,1625,20,12,White
2000,1626,25,16,Black
2000,1627,25,18,White
2000,1628,26,12,Black
2000,1629,19,12,White
2000,1631,27,15,White
2000,1632,18,12,White
2000,1633,34,12,White
2000,1634,20,14,White
2000,1635,29,16,White
2000,1636,25,14,White
2000,1637,29,16,White
2000,1638,26,16,White
2000,1639,29,19,White
2000,1640,21,20,White
2000,1642,17,12,Black
2000,1643,17,11,White
2000,1646,29,18,White
2000,1647,23,13,Black
2000,1648,21,12,Black
2000,1651,23,12,White
2000,1652,19,14,White
2000,1653,21,12,White
2000,1655,19,13,White
2000,1656,24,16,White
2000,1657,18,9,White
2000,1658,24,12,Black
2000,1659,25,17,White
2000,1660,18,12,White
2000,1661,28,12,White
2000,1662,21,13,White
2000,1664,16,9,White
2000,1665,20,13,White
2000,1666,26,16,White
2000,1668,23,12,White
2000,1670,19,14,White
2000,1671,33,12,Black
2000,1672,24,12,White
2000,1673,21,11,White
2000,1674,26,12,White
2000,1675,14,12,White
2000,1677,20,18,Hispanic
2000,1678,33,12,White
2000,1679,31,12,Hispanic
2000,1680,33,12,White
2000,1681,30,12,White
2000,1682,20,12,White
2000,1683,21,13,White
2000,1684,29,15,White
2000,1685,18,15,White
2000,1686,29,16,White
2000,1688,20,8,White
2000,1689,24,13,White
2000,1694,24,14,White
2000,1696,27,14,Black
2000,1697,25,13,Other
