id,hours,class,racehisp,region
1326,20,Working,White,Midwest
1327,48,Working,White,Midwest
1328,60,Working,White,Midwest
1329,49,Working,White,Midwest
1330,57,Middle,White,Midwest
1331,56,Working,White,Midwest
1332,32,Working,White,Midwest
1333,60,Middle,Hispanic,Midwest
1334,45,Middle,White,Midwest
1336,50,Middle,White,Midwest
1337,40,Working,White,Midwest
1338,40,Working,Hispanic,Midwest
1339,40,Middle,White,Midwest
1341,40,Middle,White,Midwest
1342,35,Middle,Hispanic,Midwest
1344,40,Middle,White,Midwest
1346,40,Middle,White,Midwest
1348,45,Middle,White,Midwest
1349,45,Middle,White,Midwest
1352,44,Working,White,Midwest
1353,42,Middle,White,Midwest
1355,40,Middle,Hispanic,Midwest
1356,40,Working,Hispanic,Midwest
1357,35,Working,White,Southeast
1358,60,Working,White,Southeast
1359,55,Working,White,Southeast
1360,40,Working,Black,Southeast
1361,45,Middle,White,Southeast
1362,40,Working,White,Southeast
1363,30,Working,White,Southeast
1364,38,Working,Hispanic,Southeast
1365,89,Middle,White,Southeast
1367,50,Middle,White,Southeast
1368,40,Working,White,Southeast
1369,16,Lower,Black,Southeast
1371,40,Working,Black,Southeast
1373,40,Working,Black,Southeast
1374,40,Working,Black,Southeast
1375,40,Middle,Black,Southeast
1384,35,Working,Black,Midwest
1385,50,Working,Black,Midwest
1387,40,Working,White,Midwest
1389,40,Working,Black,Midwest
1390,40,Upper,Black,Midwest
1391,26,Middle,Black,Midwest
1393,40,Working,White,Midwest
1396,28,Working,Black,Midwest
1399,40,Middle,White,Midwest
1400,47,Working,White,Midwest
1401,60,Middle,White,Midwest
1402,45,Middle,White,Midwest
1403,60,Middle,White,Midwest
1405,75,Middle,White,Midwest
1407,40,Middle,White,Midwest
1408,35,Working,White,Midwest
1409,40,Middle,White,Midwest
1411,40,Working,Black,Midwest
1412,40,Working,White,Midwest
1413,60,Middle,White,Midwest
1414,40,Working,White,Midwest
1415,50,Middle,White,Midwest
1416,35,Working,White,Midwest
1417,56,Middle,White,Midwest
1418,24,Working,White,Midwest
1420,40,Middle,White,Midwest
1422,60,Middle,White,Midwest
1423,52,Working,Black,Midwest
1424,32,Working,White,Midwest
1430,70,Middle,White,Midwest
1431,40,Working,White,Midwest
1433,30,Upper,White,Middle Atlantic
1435,40,Middle,White,Middle Atlantic
1436,50,Upper,White,Middle Atlantic
1437,20,Middle,White,Middle Atlantic
1438,40,Working,Black,Middle Atlantic
1440,40,Middle,Hispanic,Middle Atlantic
1441,50,Middle,Black,Middle Atlantic
1442,60,Working,White,Middle Atlantic
1443,51,Working,Black,Middle Atlantic
1446,40,Middle,White,Middle Atlantic
1447,40,Working,White,Middle Atlantic
1453,50,Middle,White,Middle Atlantic
1454,25,Working,White,Middle Atlantic
1456,30,Working,White,Middle Atlantic
1457,50,Middle,White,Middle Atlantic
1458,25,Working,White,Middle Atlantic
1460,47,Lower,White,Middle Atlantic
1463,38,Working,Black,Middle Atlantic
1464,46,Working,White,Middle Atlantic
1465,20,Working,White,Middle Atlantic
1469,40,Working,White,Middle Atlantic
1470,45,Middle,White,Middle Atlantic
1471,48,Working,White,Middle Atlantic
1472,20,Working,White,Middle Atlantic
1473,45,Middle,White,Middle Atlantic
1474,45,Middle,White,Middle Atlantic
1475,35,Working,White,Middle Atlantic
1477,60,Middle,White,Middle Atlantic
1478,40,Middle,Black,Midwest
1481,40,Working,White,Midwest
1485,40,Lower,Black,Midwest
1487,55,Middle,White,Midwest
1488,50,Working,White,Midwest
1492,46,Working,White,Midwest
1494,56,Working,White,Midwest
1495,50,Middle,White,Midwest
1497,44,Working,Black,Midwest
1498,40,Middle,White,Midwest
1502,40,Middle,White,Midwest
1503,40,Middle,White,Midwest
1504,24,Working,White,Midwest
1505,40,Working,Black,Midwest
1507,40,Working,White,Midwest
1509,40,Working,White,Midwest
1512,30,Middle,Black,Midwest
1514,22,Working,Black,Midwest
1515,40,Working,Black,Midwest
1518,60,Working,White,Midwest
