"","commute","county","cz","state","mobility","top1pc_share","gini","teen_birthrate","par_inc_median","kid_inc_median","mobility_hi","commute_hi"
"698",17.8369033,"Scott","Columbus","Indiana",36.29775,0.2875,0.50892,0.20301,51600,29000,0,0
"699",23.91492852,"Shelby","Indianapolis","Indiana",41.7375,0.06376,0.30971,0.16319,66500,36600,0,1
"700",23.03327172,"Spencer","Evansville","Indiana",49.478,0.04953,0.24227,0.16793,64800,48800,1,1
"701",19.05357877,"Starke","South Bend","Indiana",41.183,0.067,0.36981,0.22732,48000,32700,0,0
"702",19.51991698,"Steuben","Fort Wayne","Indiana",41.51,0.10666,0.34328,0.16047,64800,37600,0,0
"703",23.03677659,"Sullivan","Terre Haute","Indiana",44.5245,0.04308,0.32161,0.17191,53500,41100,1,1
"704",24.8187841,"Switzerland","Washington","Indiana",42.507,0.04563,0.28491,0.19398,49500,32000,0,1
"705",21.83099633,"Tippecanoe","Lafayette","Indiana",42.39025,0.08554,0.34761,0.12925,78700,40800,0,1
"706",18.5587447,"Tipton","Center","Indiana",44.1195,0.12383,0.31716,0.13756,76300,45700,1,0
"707",18.6163674,"Union","Wayne","Indiana",44.0425,0.05085,0.22582,0.17747,59800,37300,1,0
"708",22.77807424,"Vanderburgh","Evansville","Indiana",39.24925,0.18812,0.50443,0.17204,65800,37300,0,1
"709",23.97719595,"Vermillion","Terre Haute","Indiana",42.691,0.05761,0.33155,0.14915,56500,37400,0,1
"710",23.35148029,"Vigo","Terre Haute","Indiana",40.4205,0.11632,0.44275,0.17163,59000,34700,0,1
"711",18.38262839,"Wabash","Wayne","Indiana",41.2245,0.06587,0.27424,0.16362,65900,39800,0,0
"712",23.0022508,"Warrick","Evansville","Indiana",44.607,0.11502,0.3435,0.11793,75400,46200,1,1
"713",19.92916347,"Washington","Louisville","Indiana",41.419,0.07386,0.3199,0.19507,50900,35100,0,0
"714",20.77383875,"Wayne","Wayne","Indiana",37.42725,0.12395,0.43163,0.19001,56100,29500,0,0
"715",21.2576282,"Wells","Fort Wayne","Indiana",45.5985,0.08476,0.2817,0.10242,68700,44100,1,0
"716",20.60833333,"White","Lafayette","Indiana",45.69825,0.04926,0.28148,0.16025,61700,38500,1,0
"717",21.33538609,"Whitley","Fort Wayne","Indiana",44.894,0.06917,0.25014,0.13202,73800,42500,1,0
"718",18.65046462,"Adair","Des Moines","Iowa",54.2515,0.18264,0.39658,0.09726,51600,47900,1,0
"719",16.33239225,"Allamakee","Dubuque","Iowa",55.28925,0.05928,0.27824,0.11842,53000,47400,1,0
"720",16.98573176,"Appanoose","Centerville","Iowa",48.33625,0.09936,0.35027,0.13879,46500,39600,1,0
"721",13.98700306,"Audubon","Atlantic","Iowa",55.60725,0.06888,0.33297,0.125,52500,55300,1,0
"722",19.37118916,"Benton","Cedar Rapids","Iowa",50.407,0.04786,0.25063,0.0858,69400,46500,1,0
"723",19.81147403,"Black Hawk","Waterloo","Iowa",44.14075,0.10837,0.39601,0.13462,70500,42400,1,0
"724",17.9419634,"Boone","Des Moines","Iowa",46.98675,0.05316,0.24259,0.11612,70000,47200,1,0
"725",17.73555841,"Bremer","Waterloo","Iowa",54.98225,0.08816,0.27049,0.07714,73500,55100,1,0
"726",17.10169492,"Buchanan","Waterloo","Iowa",52.83025,0.06783,0.29825,0.10058,64400,53500,1,0
"727",16.56570739,"Buena Vista","Storm Lake","Iowa",52.28825,0.09935,0.33924,0.09484,59700,51600,1,0
"728",18.47436555,"Butler","Waterloo","Iowa",55.96725,0.04301,0.22726,0.06082,59200,54300,1,0
